3	4	2	2	4	3	4	4	4	3	3	4	10	10
2	2	1	1	3	3	2	4	3	4	3	3	9	8
3	3	1	1	4	2	2	3	3	3	3	3	8	8
3	4	2	2	4	2	3	4	4	3	3	3	8	8
3	4	3	2	4	3	3	4	4	2	3	3	10	10
2	1	1	1	3	2	3	2	3	1	2	3	7	8
3	4	3	2	4	3	4	4	4	4	3	4	10	10
3	4	2	2	4	3	3	4	3	4	3	4	10	10
3	1	2	1	4	2	2	4	3	2	2	4	7	9
3	1	3	2	4	3	4	4	4	4	2	2	9	2
3	3	1	2	4	3	4	4	4	4	2	4	10	10
3	4	1	1	4	2	3	2	1	4	2	2	10	10
3	4	3	2	4	3	4	4	4	4	3	4	10	10
3	4	1	1	3	2	4	3	4	4	2	3	9	10
2	3	3	2	4	3	3	3	4	4	2	4	4	9
3	4	3	2	3	3	4	4	4	4	2	4	10	10
3	4	3	2	4	3	4	4	4	4	3	4	10	10
3	2	3	1	4	3	4	4	4	3	3	4	10	10
3	2	1	1	4	2	2	4	4	3	2	4	10	10
3	4	2	1	3	3	2	4	4	3	3	4	10	10
3	3	3	2	4	3	3	3	4	4	3	3	7	9
3	4	3	2	4	3	4	4	4	4	3	4	10	10
3	4	1	1	3	2	3	3	4	4	2	3	10	10
3	4	3	2	4	2	4	4	4	3	2	3	10	6
3	3	2	2	2	3	3	4	4	3	3	3	8	10
3	4	1	2	3	3	3	4	4	4	3	4	9	8
3	4	1	1	4	3	4	4	4	4	3	4	1	10
3	4	1	1	4	3	4	1	4	4	2	3	8	10
2	2	1	1	4	2	3	3	4	3	2	3	10	8
3	4	3	2	4	2	4	3	4	4	3	3	6	9
3	3	2	2	4	2	3	4	4	1	2	4	8	9
3	4	2	2	4	3	3	4	4	4	2	4	10	10
3	2	1	1	4	3	3	3	4	3	3	4	10	10
3	2	1	1	4	3	2	3	4	4	2	4	10	10
3	4	3	1	4	2	3	4	4	4	1	2	10	5
3	4	3	2	4	2	4	4	4	4	2	4	10	10
3	4	1	1	3	2	4	4	4	4	3	3	10	10
3	4	1	2	3	3	2	3	4	1	2	3	9	9
3	2	3	1	2	3	4	3	4	4	2	4	10	2
3	4	2	2	4	2	3	4	4	4	3	4	10	10
3	2	3	2	4	3	3	4	4	4	2	4	8	8
3	4	2	1	3	3	4	4	4	4	3	4	10	10
3	2	2	2	4	3	3	4	4	3	3	3	8	8
3	4	1	1	4	2	3	4	4	4	3	4	6	10
3	4	3	2	4	2	4	4	3	3	2	4	10	10
